projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd;methodNameHash;methodNameFullHash;methodCode;methodCodeHash;FullHash
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task129\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;31;1;Unknown Test;sampleCases;9-28;9-28;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.minPath(Arrays.asList(Arrays.asList(1,2,3),Arrays.asList(4,5,6),Arrays.asList(7,8,9)),3).equals(Arrays.asList(1,2,1)),s.minPath(Arrays.asList(Arrays.asList(5,9,3),Arrays.asList(4,1,6),Arrays.asList(7,8,2)),1).equals(List.of(1)),s.minPath(Arrays.asList(Arrays.asList(1,2,3,4),Arrays.asList(5,6,7,8),Arrays.asList(9,10,11,12),Arrays.asList(13,14,15,16)),4).equals(Arrays.asList(1,2,1,2)),s.minPath(Arrays.asList(Arrays.asList(6,4,13,10),Arrays.asList(5,7,12,1),Arrays.asList(3,16,11,15),Arrays.asList(8,14,9,2)),7).equals(Arrays.asList(1,10,1,10,1,10,1)),s.minPath(Arrays.asList(Arrays.asList(8,14,9,2),Arrays.asList(6,4,13,15),Arrays.asList(5,7,1,12),Arrays.asList(3,10,11,16)),5).equals(Arrays.asList(1,7,1,7,1)),s.minPath(Arrays.asList(Arrays.asList(11,8,7,2),Arrays.asList(5,16,14,4),Arrays.asList(9,3,15,6),Arrays.asList(12,13,10,1)),9).equals(Arrays.asList(1,6,1,6,1,6,1,6,1)),s.minPath(Arrays.asList(Arrays.asList(12,13,10,1),Arrays.asList(9,3,15,6),Arrays.asList(5,16,14,4),Arrays.asList(11,8,7,2)),12).equals(Arrays.asList(1,6,1,6,1,6,1,6,1,6,1,6)),s.minPath(Arrays.asList(Arrays.asList(2,7,4),Arrays.asList(3,1,5),Arrays.asList(6,8,9)),8).equals(Arrays.asList(1,3,1,3,1,3,1,3)),s.minPath(Arrays.asList(Arrays.asList(6,1,5),Arrays.asList(3,8,9),Arrays.asList(2,7,4)),8).equals(Arrays.asList(1,5,1,5,1,5,1,5)),s.minPath(Arrays.asList(Arrays.asList(1,2),Arrays.asList(3,4)),10).equals(Arrays.asList(1,2,1,2,1,2,1,2,1,2)),s.minPath(Arrays.asList(Arrays.asList(1,3),Arrays.asList(3,2)),10).equals(Arrays.asList(1,3,1,3,1,3,1,3,1,3)))|if(correct.contains(false)){thrownewAssertionError()|}};4afbc418157d152e5833a7b3e55dfd09;cd07fb3c2fdafa7829904c13f45daabc
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task129\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;31;1;Conditional Test Logic;sampleCases;25-27;25-27;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task13\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;24;1;Unknown Test;sampleCases;9-21;9-21;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.greatestCommonDivisor(3,7)==1,s.greatestCommonDivisor(10,15)==5,s.greatestCommonDivisor(49,14)==7,s.greatestCommonDivisor(144,60)==12)|if(correct.contains(false)){thrownewAssertionError()|}};6fa573cf18b5f419869d11a71a7c7759;a9b3601b17ee5f5e3b3ac1841cc6ed5e
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task13\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;24;1;Conditional Test Logic;sampleCases;18-20;18-20;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task140\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;25;1;Unknown Test;sampleCases;9-22;9-22;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(Objects.equals(s.fixSpaces("Example"),"Example"),Objects.equals(s.fixSpaces("MudasirHanif"),"Mudasir_Hanif_"),Objects.equals(s.fixSpaces("YellowYellowDirtyFellow"),"Yellow_Yellow__Dirty__Fellow"),Objects.equals(s.fixSpaces("Example"),"Exa-mple"),Objects.equals(s.fixSpaces("Exa122mple"),"-Exa_1_2_2_mple"))|if(correct.contains(false)){thrownewAssertionError()|}};4ddde42eb91c0252385eb6443b9e81da;5f8b17eeec2489f85ca5e20b004a7c30
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task140\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;25;1;Conditional Test Logic;sampleCases;19-21;19-21;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task141\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;44;1;Unknown Test;sampleCases;9-41;9-41;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(Objects.equals(s.filenameCheck("example.txt"),"Yes"),Objects.equals(s.filenameCheck("1example.dll"),"No"),Objects.equals(s.filenameCheck("s1sdf3.asd"),"No"),Objects.equals(s.filenameCheck("K.dll"),"Yes"),Objects.equals(s.filenameCheck("MY16FILE3.exe"),"Yes"),Objects.equals(s.filenameCheck("His12FILE94.exe"),"No"),Objects.equals(s.filenameCheck("_Y.txt"),"No"),Objects.equals(s.filenameCheck("?aREYA.exe"),"No"),Objects.equals(s.filenameCheck("/this_is_valid.dll"),"No"),Objects.equals(s.filenameCheck("this_is_valid.wow"),"No"),Objects.equals(s.filenameCheck("this_is_valid.txt"),"Yes"),Objects.equals(s.filenameCheck("this_is_valid.txtexe"),"No"),Objects.equals(s.filenameCheck("#this2_i4s_5valid.ten"),"No"),Objects.equals(s.filenameCheck("@this1_is6_valid.exe"),"No"),Objects.equals(s.filenameCheck("this_is_12valid.6exe4.txt"),"No"),Objects.equals(s.filenameCheck("all.exe.txt"),"No"),Objects.equals(s.filenameCheck("I563_No.exe"),"Yes"),Objects.equals(s.filenameCheck("Is3youfault.txt"),"Yes"),Objects.equals(s.filenameCheck("no_one#knows.dll"),"Yes"),Objects.equals(s.filenameCheck("1I563_Yes3.exe"),"No"),Objects.equals(s.filenameCheck("I563_Yes3.txtt"),"No"),Objects.equals(s.filenameCheck("final..txt"),"No"),Objects.equals(s.filenameCheck("final132"),"No"),Objects.equals(s.filenameCheck("_f4indsartal132."),"No"))|if(correct.contains(false)){thrownewAssertionError()|}};21e229de704614e5841b5862a8d21c48;c56762ae0efe7cc4065f36d2da05494c
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task141\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;44;1;Verbose Test;sampleCases;9-41;9-41;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(Objects.equals(s.filenameCheck("example.txt"),"Yes"),Objects.equals(s.filenameCheck("1example.dll"),"No"),Objects.equals(s.filenameCheck("s1sdf3.asd"),"No"),Objects.equals(s.filenameCheck("K.dll"),"Yes"),Objects.equals(s.filenameCheck("MY16FILE3.exe"),"Yes"),Objects.equals(s.filenameCheck("His12FILE94.exe"),"No"),Objects.equals(s.filenameCheck("_Y.txt"),"No"),Objects.equals(s.filenameCheck("?aREYA.exe"),"No"),Objects.equals(s.filenameCheck("/this_is_valid.dll"),"No"),Objects.equals(s.filenameCheck("this_is_valid.wow"),"No"),Objects.equals(s.filenameCheck("this_is_valid.txt"),"Yes"),Objects.equals(s.filenameCheck("this_is_valid.txtexe"),"No"),Objects.equals(s.filenameCheck("#this2_i4s_5valid.ten"),"No"),Objects.equals(s.filenameCheck("@this1_is6_valid.exe"),"No"),Objects.equals(s.filenameCheck("this_is_12valid.6exe4.txt"),"No"),Objects.equals(s.filenameCheck("all.exe.txt"),"No"),Objects.equals(s.filenameCheck("I563_No.exe"),"Yes"),Objects.equals(s.filenameCheck("Is3youfault.txt"),"Yes"),Objects.equals(s.filenameCheck("no_one#knows.dll"),"Yes"),Objects.equals(s.filenameCheck("1I563_Yes3.exe"),"No"),Objects.equals(s.filenameCheck("I563_Yes3.txtt"),"No"),Objects.equals(s.filenameCheck("final..txt"),"No"),Objects.equals(s.filenameCheck("final132"),"No"),Objects.equals(s.filenameCheck("_f4indsartal132."),"No"))|if(correct.contains(false)){thrownewAssertionError()|}};21e229de704614e5841b5862a8d21c48;c56762ae0efe7cc4065f36d2da05494c
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task141\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;44;1;Conditional Test Logic;sampleCases;38-40;38-40;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task156\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;34;1;Unknown Test;sampleCases;9-31;9-31;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(Objects.equals(s.intToMiniRoman(19),"xix"),Objects.equals(s.intToMiniRoman(152),"clii"),Objects.equals(s.intToMiniRoman(251),"ccli"),Objects.equals(s.intToMiniRoman(426),"cdxxvi"),Objects.equals(s.intToMiniRoman(500),"d"),Objects.equals(s.intToMiniRoman(1),"i"),Objects.equals(s.intToMiniRoman(4),"iv"),Objects.equals(s.intToMiniRoman(43),"xliii"),Objects.equals(s.intToMiniRoman(90),"xc"),Objects.equals(s.intToMiniRoman(94),"xciv"),Objects.equals(s.intToMiniRoman(532),"dxxxii"),Objects.equals(s.intToMiniRoman(900),"cm"),Objects.equals(s.intToMiniRoman(994),"cmxciv"),Objects.equals(s.intToMiniRoman(1000),"m"))|if(correct.contains(false)){thrownewAssertionError()|}};424c53f41f6f5a41ee43366ba294d4e1;481c4cc0650d77a76d3d13d0507124ce
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task156\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;34;1;Conditional Test Logic;sampleCases;28-30;28-30;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task16\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;25;1;Unknown Test;sampleCases;9-22;9-22;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.countDistinctCharacters("")==0,s.countDistinctCharacters("abcde")==5,s.countDistinctCharacters("abcde"+"cade"+"CADE")==5,s.countDistinctCharacters("aaaaAAAAaaaa")==1,s.countDistinctCharacters("JerryjERRYJeRRRY")==5)|if(correct.contains(false)){thrownewAssertionError()|}};7f7392bec68bce3cb4ceed196188d864;835d057deb866d59d0b28f8e34e21146
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task16\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;25;1;Conditional Test Logic;sampleCases;19-21;19-21;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task160\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;24;1;Unknown Test;sampleCases;9-21;9-21;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.doAlgebra(newArrayList<>(Arrays.asList("**","*","+")),newArrayList<>(Arrays.asList(2,3,4,5)))==37,s.doAlgebra(newArrayList<>(Arrays.asList("+","*","-")),newArrayList<>(Arrays.asList(2,3,4,5)))==9,s.doAlgebra(newArrayList<>(Arrays.asList("/","*")),newArrayList<>(Arrays.asList(7,3,4)))==8,s.doAlgebra(newArrayList<>(Arrays.asList("+","**","**")),newArrayList<>(Arrays.asList(7,5,3,2)))==1953132)|if(correct.contains(false)){thrownewAssertionError()|}};30685b84d13a701947e38358badd3ef6;d0307bbb66e1b1f2a00c6bac11538142
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task160\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;24;1;Conditional Test Logic;sampleCases;18-20;18-20;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task162\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;26;1;Unknown Test;sampleCases;11-23;11-23;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases()throwsNoSuchAlgorithmException{Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.stringToMd5("Helloworld").get().equals("3e25960a79dbc69b674cd4ec67a72c62"),s.stringToMd5("").isEmpty(),s.stringToMd5("ABC").get().equals("0ef78513b0cb8cef12743f5aeb35f888"),s.stringToMd5("password").get().equals("5f4dcc3b5aa765d61d8327deb882cf99"))|if(correct.contains(false)){thrownewAssertionError()|}};beb8bc2332637468516dc5ac53c75736;98d9e9805e58a2a4c0086bc09f5bbd41
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task162\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;26;1;Conditional Test Logic;sampleCases;20-22;20-22;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task18\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;24;1;Unknown Test;sampleCases;9-21;9-21;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.howManyTimes("","x")==0,s.howManyTimes("xyxyxyx","x")==4,s.howManyTimes("cacacacac","cac")==4,s.howManyTimes("johndoe","john")==1)|if(correct.contains(false)){thrownewAssertionError()|}};61a6092d8233ee4737db4e3cbea06c59;5c0a594af60bcb7ed9c45b538c31c353
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task18\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;24;1;Conditional Test Logic;sampleCases;18-20;18-20;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task20\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;25;1;Unknown Test;sampleCases;9-22;9-22;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.findClosestElements(newArrayList<>(Arrays.asList(1.0,2.0,3.9,4.0,5.0,2.2))).equals(Arrays.asList(3.9,4.0)),s.findClosestElements(newArrayList<>(Arrays.asList(1.0,2.0,5.9,4.0,5.0))).equals(Arrays.asList(5.0,5.9)),s.findClosestElements(newArrayList<>(Arrays.asList(1.0,2.0,3.0,4.0,5.0,2.2))).equals(Arrays.asList(2.0,2.2)),s.findClosestElements(newArrayList<>(Arrays.asList(1.0,2.0,3.0,4.0,5.0,2.0))).equals(Arrays.asList(2.0,2.0)),s.findClosestElements(newArrayList<>(Arrays.asList(1.1,2.2,3.1,4.1,5.1))).equals(Arrays.asList(2.2,3.1)))|if(correct.contains(false)){thrownewAssertionError()|}};ca64c145101881be3a02d7da103648c7;fead677328472cebbeeaa0c289ad39ed
